id_trend,trend
0,1000aday
1,10factsaboutme
2,10peopleontwitteriwanttomeet
3,10thingsifindattractive
4,10thingsihate
5,10thingsthatilike
6,14feb
7,1dfact
8,1dfacts
9,1dfamily
10,1omf
11,20thingsilove
12,2omf
13,4wordsyoudontwanttohear
14,500aday
15,aintnothinglike
16,amen
17,amitheonlyonethat
18,aprilfools
19,aquarians
20,aquarius
21,arentyoutiredof
22,aries
23,autofollowback
24,awkward
25,backinthedaywheniwasakid
26,bahrain
27,bbl
28,believe
29,bgc
30,bgc8
31,bgt
32,bigtimerush
33,birthdaytweet
34,bizitalk
35,blessed
36,bmb
37,bored
38,boss
39,boyfriend
40,butyouathug
41,cancer
42,cancers
43,capricorn
44,classic
45,confessionhour
46,dailytweet
47,damn
48,dead
49,dearoomf
50,egypt
51,excited
52,f1
53,f4f
54,fact
55,fail
56,favmusic
57,favtvshow
58,fb
59,ff
60,findsomeonewho
61,first20songsonshuffle
62,fml
63,follow
64,followback
65,followfriday
66,followme
67,followngain
68,foreveralone
69,fourwordsyoudontwanttohear
70,free
71,fuck
72,fuckit
73,gemini
74,geminisignz
75,girlfacts
76,gnation
77,goodmorning
78,goodnight
79,gop
80,hardestthingsinlife
81,hotpeopleifollow
82,howtopissafemaleoff
83,iadmit
84,icantbetheonlyperson
85,icantdatesomeonethat
86,icantlivewithout
87,icantstandwhen
88,ididnttextyouback
89,ifindthatattractive
90,ifitwasuptome
91,ifollowback
92,ifweweretogetherrightnow
93,ijs
94,iknowthisonegirl
95,imagine
96,imhappywhen
97,immadbecause
98,imsickof
99,imsinglebecause
100,incollege
101,inourgeneration
102,instagram
103,instantfollowback
104,itscrazyhow
105,itscutewhen
106,itsfunnyhow
107,itstimeforyoutorealize
108,iwantsomebody
109,iwanttopunchpeoplewho
110,iwonderif
111,justrememberthat
112,justsayin
113,justsaying
114,kca
115,kindle
116,kuwait
117,leo
118,libra
119,libras
120,liestoldontwitter
121,life
122,lmao
123,lol
124,lolatgirlswho
125,love
126,lowkey
127,lrt
128,lt
129,mentionto
130,middleschoolmemories
131,morefemalesshould
132,moviesthatnevergetold
133,muchlove
134,music
135,mustfollow
136,mybiggestfearis
137,mybiggestproblem
138,mythoughtsduringschool
139,mythoughtsduringsex
140,nameyourfavoriterapper
141,nationalbestfriendday
142,nf
143,nfb
144,nomanshouldever
145,nowfollowing
146,nowplaying
147,nowthatimolder
148,np
149,nw
150,obsessions
151,ohwell
152,oomf
153,oomfs
154,ows
155,p2
156,pbbteens4
157,photo
158,pisces
159,random
160,randomtweet
161,real
162,realshit
163,realtalk
164,reasonsthatimsingle
165,reasonswedonttalkanymore
166,respect
167,retweet
168,rip
169,ritz2
170,rns
171,rt
172,s
173,sadtweet
174,sagittarius
175,salute
176,scorpio
177,scorpios
178,serioustweet
179,sheaintwifeymaterial
180,shoutout
181,showerflow
182,smh
183,somefactsyoushouldknow
184,sometimesijustwant
185,somf
186,sorrynotsorry
187,soundcloud
188,ssnation
189,stayawayfrommeif
190,stfu
191,subtweet
192,support
193,swag
194,swaggie
195,syria
196,taurus
197,tbt
198,tcot
199,team
200,teamautofollow
201,teamfollowback
202,teamheat
203,teamiphone
204,teamlesbian
205,teamnosleep
206,teamsingle
207,tfb
208,thatawkwardmoment
209,thatdepressingmoment
210,thatirritatesme
211,thatisall
212,thatsthetruth
213,thehairoscope
214,thestruggle
215,thevoice
216,thevoiceuk
217,theworstfeeling
218,thingsblackpeopletakeseriously
219,thingsigetalot
220,thingsigottateachmyson
221,thingsilovetosee
222,thingsisaywhilereadingmytl
223,thingsmostpeoplelikebutidont
224,thingspeopledothatgetonmynerves
225,thingsthatfrustrateme
226,thingsthatguyslike
227,thingsthatilike
228,thoughtsduringschool
229,throwback
230,throwbackthursday
231,thuglife
232,tl
233,top100lies
234,tragic
235,trayvonmartin
236,truestory
237,truth
238,truthis
239,turnon
240,turnup
241,tweegram
242,tweetyourheight
243,twitterafterdark
244,twitterpeopleilove
245,twothingsthatdontmix
246,uk
247,virgo
248,virgos
249,waystomakemehappy
250,weed
251,weirdfactaboutme
252,wewontworkoutif
253,whatgetsmemad
254,whatmakesmesmile
255,wheniwaslittle
256,win
257,winning
258,wordsyouwillneverhearmesay
259,wrestlemania
260,wtf
261,yolo
262,youdontbelongontwitterif
263,yougetmajorpointsif
264,yougetpointsif
265,youknowwhatannoysme
266,youknowwhatsannoying
267,youvedoneittoo
268,zap
