trend,count_unique_user
oomf,128308
np,73599
nf,55077
ff,43895
yolo,35862
thoughtsduringschool,32651
rt,27312
dearoomf,25927
winning,25623
nw,24616
retweet,23678
teamfollowback,23441
wheniwaslittle,20150
thingsigetalot,18434
fact,18015
20thingsilove,16982
lrt,15483
10factsaboutme,15471
yougetmajorpointsif,15219
lt,15177
shoutout,14554
fb,14300
smh,14200
10thingsifindattractive,14093
dailytweet,14065
followback,13586
yougetpointsif,13421
nowplaying,13163
top100lies,13129
nfb,12981
nationalbestfriendday,12569
middleschoolmemories,12413
taurus,12230
dead,12013
truthis,12002
cancer,11859
aries,11439
gemini,11409
theworstfeeling,11327
justsaying,10870
scorpio,10869
tbt,10858
virgo,10732
blessed,10731
mythoughtsduringschool,10662
capricorn,10645
leo,10576
subtweet,10555
realtalk,10250
random,10208
libra,10168
sagittarius,10151
salute,10094
icantstandwhen,10063
moviesthatnevergetold,9916
teamiphone,9899
mybiggestproblem,9891
pisces,9768
aquarius,9725
thingsisaywhilereadingmytl,9713
fml,9467
inourgeneration,9430
lol,9397
throwbackthursday,9260
truth,9201
imsinglebecause,9196
iadmit,9146
follow,9015
nowfollowing,9014
sorrynotsorry,8930
goodnight,8785
boyfriend,8674
thingsmostpeoplelikebutidont,8672
wtf,8467
ifitwasuptome,8312
thatirritatesme,8294
youknowwhatsannoying,8279
swag,8239
tweegram,8211
love,8130
realshit,8020
10thingsthatilike,7934
aprilfools,7692
10thingsihate,7445
trayvonmartin,7415
fail,7283
imhappywhen,7255
thingsigottateachmyson,7165
instagram,7071
wewontworkoutif,7061
2omf,6957
itscutewhen,6940
ohwell,6915
imagine,6852
oomfs,6812
bgc,6794
confessionhour,6574
ifindthatattractive,6560
twitterpeopleilove,6556
thuglife,6501
rns,6442
teamsingle,6413
waystomakemehappy,6406
imsickof,6369
justrememberthat,6319
justsayin,6301
sadtweet,6272
weirdfactaboutme,6262
aquarians,6142
whatmakesmesmile,6040
4wordsyoudontwanttohear,6012
foreveralone,5952
fourwordsyoudontwanttohear,5893
whatgetsmemad,5827
reasonswedonttalkanymore,5780
10peopleontwitteriwanttomeet,5717
classic,5586
thingsthatilike,5566
iwanttopunchpeoplewho,5554
throwback,5491
ididnttextyouback,5490
ijs,5398
lolatgirlswho,5388
thatdepressingmoment,5379
twothingsthatdontmix,5368
stayawayfrommeif,5362
reasonsthatimsingle,5314
youknowwhatannoysme,5299
thingspeopledothatgetonmynerves,5295
mythoughtsduringsex,5260
findsomeonewho,5258
tfb,5233
rip,5214
icantlivewithout,5148
thatawkwardmoment,5115
itstimeforyoutorealize,5090
damn,5087
howtopissafemaleoff,5086
nowthatimolder,5029
iknowthisonegirl,5017
wordsyouwillneverhearmesay,4976
sheaintwifeymaterial,4945
icantdatesomeonethat,4923
believe,4905
tl,4893
morefemalesshould,4893
respect,4884
turnon,4850
virgos,4809
showerflow,4781
thingsthatfrustrateme,4700
iwantsomebody,4672
mybiggestfearis,4640
itscrazyhow,4584
fuck,4558
libras,4516
thestruggle,4499
hotpeopleifollow,4489
nomanshouldever,4480
real,4435
liestoldontwitter,4429
free,4392
randomtweet,4372
teamnosleep,4371
thingsilovetosee,4366
sometimesijustwant,4355
thatsthetruth,4346
teamheat,4325
boss,4307
awkward,4279
hardestthingsinlife,4274
birthdaytweet,4264
fuckit,4252
truestory,4218
turnup,4209
thingsblackpeopletakeseriously,4202
bored,4198
tweetyourheight,4188
scorpios,4184
stfu,4095
itsfunnyhow,4084
youdontbelongontwitterif,4080
amitheonlyonethat,4051
backinthedaywheniwasakid,4048
ifweweretogetherrightnow,4005
serioustweet,3986
lowkey,3981
somf,3977
cancers,3962
nameyourfavoriterapper,3948
lmao,3948
life,3948
arentyoutiredof,3945
s,3937
aintnothinglike,3933
thatisall,3915
goodmorning,3912
twitterafterdark,3877
excited,3829
incollege,3788
muchlove,3747
thingsthatguyslike,3696
immadbecause,3693
team,3657
bgc8,3652
amen,3623
tragic,3609
iwonderif,3575
thevoiceuk,3553
thevoice,3531
somefactsyoushouldknow,3514
girlfacts,3514
1omf,3492
icantbetheonlyperson,3486
butyouathug,3451
bbl,3366
zap,3364
1dfact,3310
youvedoneittoo,3307
followme,3298
500aday,3288
mentionto,3236
followfriday,3189
weed,3164
bgt,3029
soundcloud,2986
instantfollowback,2947
bmb,2903
kca,2885
mustfollow,2794
swaggie,2759
geminisignz,2639
teamlesbian,2534
f4f,2512
thehairoscope,2450
music,2446
win,2285
bahrain,2253
wrestlemania,2236
first20songsonshuffle,2235
1dfacts,2195
ifollowback,2015
1dfamily,2010
teamautofollow,1935
1000aday,1926
egypt,1898
syria,1823
autofollowback,1749
uk,1696
followngain,1649
support,1613
kuwait,1531
tcot,1437
f1,1431
p2,1317
ows,1092
gop,1058
pbbteens4,962
14feb,709
bigtimerush,626
gnation,619
favmusic,587
kindle,571
favtvshow,384
photo,364
obsessions,340
ritz2,325
ssnation,301
bizitalk,227
